num_jogadas,vencedor,tempo_medio_mcts,tempo_medio_id3
11,1,0.8969641526540121,7.138252258300781e-05
13,1,0.8010931355612618,6.794929504394531e-05
9,1,0.5960797309875489,6.431341171264648e-05
7,1,0.6138192415237427,5.324681599934896e-05
15,1,0.5959096550941467,5.681174142020089e-05
7,1,0.6430114507675171,6.18298848470052e-05
13,1,0.6093658038548061,5.7220458984375e-05
13,1,0.6095019408634731,4.2438507080078125e-05
9,1,0.609701681137085,4.07099723815918e-05
11,1,0.5847053527832031,5.22613525390625e-05
7,1,0.6573108434677124,4.824002583821615e-05
11,1,0.59708571434021,5.6409835815429686e-05
7,1,0.6671419143676758,3.96569569905599e-05
7,1,0.6016306281089783,5.1816304524739586e-05
11,1,0.6154019037882487,4.062652587890625e-05
19,1,0.5230966329574585,3.912713792588976e-05
7,1,0.5872311592102051,0.0001155535380045573
11,1,0.6107297341028849,3.5810470581054685e-05
11,1,0.6084529161453247,3.7670135498046875e-05
7,1,0.6206914186477661,4.688898722330729e-05
7,1,0.5957362651824951,5.4041544596354164e-05
13,1,0.6057352679116386,5.718072255452474e-05
17,1,0.512517425749037,4.851818084716797e-05
11,1,0.6118354399998983,5.278587341308594e-05
11,1,0.5797349611918131,5.1116943359375e-05
7,1,0.6192975044250488,5.968411763509115e-05
9,1,0.6153584003448487,5.4776668548583984e-05
9,1,0.605173921585083,4.9948692321777344e-05
7,1,0.5727753639221191,5.364418029785156e-05
13,1,0.5701820169176374,5.3207079569498696e-05
21,1,0.53067608313127,3.9958953857421874e-05
11,1,0.6492368777592977,5.14984130859375e-05
7,1,0.6102775931358337,5.968411763509115e-05
7,1,0.6602835655212402,6.421407063802083e-05
7,1,0.6154692769050598,4.6253204345703125e-05
13,1,0.5937506811959403,5.173683166503906e-05
7,1,0.6564682126045227,6.206830342610677e-05
9,1,0.5889297008514405,5.4955482482910156e-05
9,1,0.6089072704315186,4.607439041137695e-05
15,1,0.6157694756984711,4.645756312779018e-05
13,1,0.5747462000165667,3.6875406901041664e-05
15,1,0.6205354928970337,6.0422079903738836e-05
13,1,0.6149382591247559,4.76837158203125e-05
9,1,0.6209750652313233,3.9458274841308594e-05
13,1,0.5542522839137486,3.5087267557779946e-05
9,1,0.6208876132965088,5.0961971282958984e-05
11,1,0.6349740823109945,5.154609680175781e-05
7,1,0.602920651435852,5.443890889485677e-05
11,1,0.5861743688583374,5.1403045654296874e-05
9,1,0.6484472751617432,6.026029586791992e-05
